"Devicename";"Deviceaddress";"Devicetype"
"frdnt60";"138.103.184.170";"Microsoft_OS_Windows"
"frint17";"138.103.184.113";"Microsoft_OS_Windows"
"frint34";"164.4.144.5";"Microsoft_OS_Windows"
"frint36";"164.4.144.39";"Microsoft_OS_Windows"
"frint37";"164.4.144.9";"Microsoft_OS_Windows"
"frint38";"164.4.144.25";"Microsoft_OS_Windows"
"frint40";"164.4.144.41";"Microsoft_OS_Windows"
"frint42";"164.4.144.2";"Microsoft_OS_Windows"
"frint43";"138.103.184.27";"Microsoft_OS_Windows"
"frint44";"138.103.242.60";"Microsoft_OS_Windows"
"frint49";"164.4.144.20";"Microsoft_OS_Windows"
"frint50";"164.4.144.10";"Microsoft_OS_Windows"
"frint51";"138.103.184.36";"Microsoft_OS_Windows"
"frint53";"138.103.184.6";"Microsoft_OS_Windows"
"frint54";"138.103.184.5";"Microsoft_OS_Windows"
"frint55";"164.4.144.15";"Microsoft_OS_Windows"
"frint58";"164.4.144.16";"Microsoft_OS_Windows"
"frint59";"164.4.144.8";"Microsoft_OS_Windows"
"frtnt5";"138.103.184.7";"Microsoft_OS_Windows"
"gbdnt74";"10.38.35.11";"Microsoft_OS_Windows"
"gbint04";"164.4.111.35";"Microsoft_OS_Windows"
"gbint14";"164.4.111.30";"Microsoft_OS_Windows"
"gbint17";"10.38.35.32";"Microsoft_OS_Windows"
"gbint3";"10.38.35.199";"Microsoft_OS_Windows"
"indlns2";"10.40.36.67";"Microsoft_OS_Windows"
"indnt67";"164.4.104.96";"Microsoft_OS_Windows"
"indnt76";"10.61.7.6";"Microsoft_OS_Windows"
"inint1";"10.40.36.69";"Microsoft_OS_Windows"
"inint2";"10.40.36.70";"Microsoft_OS_Windows"
"inint31";"10.40.36.71";"Microsoft_OS_Windows"
"inint79";"10.40.36.73";"Microsoft_OS_Windows"
"inint80";"10.61.7.8";"Microsoft_OS_Windows"
"inint84";"10.40.36.74";"Microsoft_OS_Windows"
"inint89";"10.40.36.66";"Microsoft_OS_Windows"
"jpdnt30";"138.103.186.96";"Microsoft_OS_Windows"
"myint1";"10.37.55.10";"Microsoft_OS_Windows"
