"Devicename";"Deviceaddress";"Devicetype"
"seint711";"164.4.41.162";"Microsoft_OS_Windows"
"seint712";"164.4.41.163";"Microsoft_OS_Windows"
"seint716";"164.4.41.165";"Microsoft_OS_Windows"
"seint71";"164.4.87.179";"Microsoft_OS_Windows"
"seint72";"164.4.87.180";"Microsoft_OS_Windows"
"seint814";"138.103.86.230";"Microsoft_OS_Windows"
"seint846";"164.4.86.32";"Microsoft_OS_Windows"
"seint877";"164.4.41.216";"Microsoft_OS_Windows"
"seint878";"164.4.41.217";"Microsoft_OS_Windows"
"seint884";"164.4.185.215";"Microsoft_OS_Windows"
"seint885";"164.4.185.216";"Microsoft_OS_Windows"
"seint9065";"138.103.187.85";"Microsoft_OS_Windows"
"seint9066";"138.103.187.86";"Microsoft_OS_Windows"
"seint9067";"138.103.187.87";"Microsoft_OS_Windows"
"seint9068";"138.103.187.88";"Microsoft_OS_Windows"
"seint9069";"138.103.186.201";"Microsoft_OS_Windows"
"seint9080";"138.103.187.91";"Microsoft_OS_Windows"
"seint9089";"138.103.187.97";"Microsoft_OS_Windows"
"seint921";"138.103.186.47";"Microsoft_OS_Windows"
"seint923";"138.103.186.49";"Microsoft_OS_Windows"
"seint965";"138.103.145.238";"Microsoft_OS_Windows"
"seint967";"169.254.227.80";"Microsoft_OS_Windows"
"seint968";"138.103.144.75";"Microsoft_OS_Windows"
"tzint1";"10.38.14.21";"Microsoft_OS_Windows"
"usdnt1005";"138.103.82.222";"Microsoft_OS_Windows"
"usint105";"164.4.171.227";"Microsoft_OS_Windows"
"usint108";"138.103.92.61";"Microsoft_OS_Windows"
"usint109";"164.4.237.169";"Microsoft_OS_Windows"
"usint111";"138.103.60.21";"Microsoft_OS_Windows"
"usint145";"10.22.15.100";"Microsoft_OS_Windows"
"usint184";"164.4.171.172";"Microsoft_OS_Windows"
"usint199";"138.103.92.140";"Microsoft_OS_Windows"
"usint1";"138.103.61.81";"Microsoft_OS_Windows"
"usint214";"164.4.176.145";"Microsoft_OS_Windows"
"vas01";"10.36.251.21";"Microsoft_OS_Windows"
"wtsap03";"138.103.52.22";"Microsoft_OS_Windows"
"wtsap08";"164.4.87.96";"Microsoft_OS_Windows"
"zadlns4";"138.103.148.217";"Microsoft_OS_Windows"
"zaint53";"138.103.4.105";"Microsoft_OS_Windows"
"zaint54";"138.103.4.101";"Microsoft_OS_Windows"
"zaint67";"138.103.4.123";"Microsoft_OS_Windows"
"zaint73";"138.103.4.22";"Microsoft_OS_Windows"
"zaint74";"138.103.4.23";"Microsoft_OS_Windows"
"zaint77";"138.103.4.60";"Microsoft_OS_Windows"
"zaint80";"138.103.4.33";"Microsoft_OS_Windows"
"zaint83";"138.103.4.28";"Microsoft_OS_Windows"
